206,"Sai Degree College, Tiruvur","Acharya Nagarjuna University, Guntur"
207,"Saptagiri College, Krishna","Acharya Nagarjuna University, Guntur"
208,"Saraswathi College of Arts and Science, Dachepalli","Acharya Nagarjuna University, Guntur"
209,"Sathavahana Degree College, Vijayawada","Acharya Nagarjuna University, Guntur"
210,"Shivani Degree College, Guntur, Cherukupalli Mandal","Acharya Nagarjuna University, Guntur"
211,"SKRBR College, Guntur","Acharya Nagarjuna University, Guntur"
212,"Smt. N.B.R. Rao College (N.B.T and N.V.C), Guntur","Acharya Nagarjuna University, Guntur"
213,"Smt. N.B.T. Degree College for Women, Guntur","Acharya Nagarjuna University, Guntur"
214,"Smt. Sanagala Prameela Degree College, Guntur","Acharya Nagarjuna University, Guntur"
215,"Smt. Yalamanchili Kamala and Smt.Devineni Hemavathi Nagarjuna Mahila Degree Kalasala, Krishna","Acharya Nagarjuna University, Guntur"
216,"Sree Jeevana Jyothi Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
217,"Sree Nagarjuna Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
218,"Sree Sai Mahita Degree College, Penamalur Mandal","Acharya Nagarjuna University, Guntur"
219,"Sreeram Ammani Viswandham and Namburi Venkata Janardhana Rao Degree College, Jaggayyapeta","Acharya Nagarjuna University, Guntur"
220,"Sri A.T.R. and V.R.M. Degree College, Podili","Acharya Nagarjuna University, Guntur"
221,"Sri Baba Gurudev Degree College, Sattenapalli","Acharya Nagarjuna University, Guntur"
222,"Sri Bala Sai Degree College, Machilipatnam","Acharya Nagarjuna University, Guntur"
223,"Sri Balaji Degree College, Krishna","Acharya Nagarjuna University, Guntur"
224,"Sri Chaparala Satyanarayana Kalasala, Krishna","Acharya Nagarjuna University, Guntur"
225,"Sri Datta Sai Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
226,"Sri G.C. and Y.R.N. Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
227,"Sri Gayatri Vidya Parished College, Prakasam","Acharya Nagarjuna University, Guntur"
228,"Sri Goutu Lachanna College, Vijayawada","Acharya Nagarjuna University, Guntur"
229,"Sri Gowthami Degree College, Darsi","Acharya Nagarjuna University, Guntur"
230,"Sri Harsha's Women's Degree College, Cumbum Mandal","Acharya Nagarjuna University, Guntur"
231,"Sri Harshini Degree College, Ongole","Acharya Nagarjuna University, Guntur"
232,"Sri J.L.M. Sastry College for Women, Tenali","Acharya Nagarjuna University, Guntur"
233,"Sri K.U. Degree College, Pedakurapadu, Pedakurapadu","Acharya Nagarjuna University, Guntur"
234,"Sri Kandula Obul Reddy College, Prakasam","Acharya Nagarjuna University, Guntur"
235,"Sri Kota Raghavaiah Degree College, Koduru Mandal","Acharya Nagarjuna University, Guntur"
236,"Sri Krishna Degree College, Chalapalli","Acharya Nagarjuna University, Guntur"
237,"Sri Krishna Sai Women's College, Krishna","Acharya Nagarjuna University, Guntur"
238,"Sri Krishnaveni College, Vijayawada","Acharya Nagarjuna University, Guntur"
239,"Sri Lakkineni Ramayya Pratibha Model Degree College, Tiruvuru","Acharya Nagarjuna University, Guntur"
240,"Sri Majeti (S.M.) Guravaiah Degree College, Guntur","Acharya Nagarjuna University, Guntur"
241,"Sri Potti Sriramulu Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
242,"Sri Prasannanjaneya Degree College, Adanki","Acharya Nagarjuna University, Guntur"
243,"Sri Pratibha Degree College, Kandukur","Acharya Nagarjuna University, Guntur"
244,"Sri Pratibha Degree College, Ongole","Acharya Nagarjuna University, Guntur"
245,"Sri Raja S.V.R.G.N.R. College of Arts and Science, Krishna","Acharya Nagarjuna University, Guntur"
246,"Sri Rama Krishna Degree College for Women, Guntur","Acharya Nagarjuna University, Guntur"
247,"Sri Rama Krishna Degree College, Ongole","Acharya Nagarjuna University, Guntur"
248,"Sri Sadhana Degree College, Markapur","Acharya Nagarjuna University, Guntur"
249,"Sri Sai College, Prakasam","Acharya Nagarjuna University, Guntur"
250,"Sri Sai Degree College, Repalli","Acharya Nagarjuna University, Guntur"
251,"Sri Sai Narayana Degree College, Vatsavai Mandal","Acharya Nagarjuna University, Guntur"
252,"Sri Sarada Degree College, Vijayawada","Acharya Nagarjuna University, Guntur"
253,"Sri Sarada Niketan Oriental College, Guntur","Acharya Nagarjuna University, Guntur"
254,"Sri Satya Narayana Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
255,"Sri Siddhartha Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
256,"Sri Siddhartha Degree College of Science and Computers, Krishna","Acharya Nagarjuna University, Guntur"
257,"Sri Srinivasa Degree College, Krishna","Acharya Nagarjuna University, Guntur"
258,"Sri Srinivasa Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
259,"Sri Vasavi Kanyaka Parameswari Degree College, Atchampet Mandal","Acharya Nagarjuna University, Guntur"
